,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings,coarse_sif,fraction_valid
33,0,4,-93.51871241877852,42.768967256335614,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,308.1368408203125,405.6947326660156,764.8316040039062,726.536865234375,3371.157958984375,2672.947265625,1651.83154296875,3015.199951171875,2984.9052734375,5.357883128453978e-05,297.117431640625,294.7727355957031,0.24210526049137115,0.06315789371728897,0.09473684430122377,0.0,0.0,0.3052631616592407,0.0,0.0,0.23157894611358645,0.02105263248085976,0.02105263248085976,0.0,0.4157319414030664,1137.0,0.38407375711919467,0.9499999880790709
38,0,4,-93.51871241877852,42.76627231048326,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,437.5979309082031,546.8865966796875,889.8453369140625,952.3917236328124,3051.927734375,3107.37109375,2225.443359375,3037.216552734375,3003.556640625,5.365809556678869e-05,297.11212158203125,294.7763366699219,0.1649484485387802,0.09278350323438644,0.5567010045051575,0.0,0.0,0.12371134012937544,0.0,0.0,0.0,0.0,0.0,0.0,0.38112143546645416,1072.0,0.38407375711919467,0.9700000286102296
43,0,4,-93.52140736463087,42.763577364630905,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,524.3191528320311,606.64892578125,836.7978515625,969.7872314453124,2100.829833984375,3387.585205078125,2881.64892578125,3061.7978515625,3026.234130859375,5.360225623007864e-05,297.0857238769531,294.7840881347656,0.0,0.09574468433856964,0.9042553305625916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15100985136601355,1101.0,0.38407375711919467,0.9399999976158142
49,0,4,-93.52140736463087,42.760882418778536,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,322.5869445800781,374.35870361328125,636.79345703125,548.1412963867189,3201.858642578125,2438.260986328125,1573.184814453125,3029.826171875,2997.29345703125,5.367658013710752e-05,297.080322265625,294.78765869140625,0.08695652335882187,0.717391312122345,0.08695652335882187,0.0,0.0,0.10869564861059187,0.0,0.0,0.0,0.0,0.0,0.0,0.4991392166655957,1134.0,0.38407375711919467,0.9200000166893004
54,0,4,-93.52140736463087,42.75818747292619,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,386.05377197265625,429.2903137207031,645.1828002929688,600.731201171875,2547.58056640625,2688.892578125,1985.4300537109373,3048.182861328125,3013.634521484375,5.3755728004034615e-05,297.0753479003906,294.79119873046875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4432275216145716,1159.0,0.38407375711919467,0.9300000071525574
59,0,4,-93.52140736463087,42.75549252707383,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,368.5625,410.5833435058594,636.7708129882812,581.8645629882812,2729.010498046875,2721.875,1953.5625,3052.958251953125,3017.770751953125,5.383412644732744e-05,297.0704040527344,294.794677734375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43641992799432655,1151.0,0.38407375711919467,0.959999978542328
64,0,4,-93.52140736463087,42.75279758122147,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,377.7111206054688,420.6666564941406,630.3444213867188,588.4444580078125,2340.255615234375,2631.933349609375,2004.611083984375,3064.477783203125,3028.35546875,5.390743535826914e-05,297.0645751953125,294.79833984375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3847984624523901,1056.0,0.38407375711919467,0.8999999761581421
68,0,4,-93.52410231048323,42.75010263536911,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,391.31182861328125,435.50537109375,639.49462890625,610.50537109375,2224.021484375,2630.40869140625,2059.55908203125,3068.064453125,3031.193603515625,5.383264215197414e-05,297.0379333496094,294.80609130859375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873067848129204,965.0,0.38407375711919467,0.9300000071525574
73,0,4,-93.52410231048323,42.74740768951675,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,331.9893493652344,373.0,594.627685546875,520.223388671875,2636.55322265625,2511.9892578125,1781.7021484375,3049.085205078125,3015.723388671875,5.386776683735661e-05,297.0340270996094,294.81036376953125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3810003952172749,1075.0,0.38407375711919467,0.9399999976158142
78,0,4,-93.52410231048323,42.7447127436644,2016-06-15,../data/tiles/input_tile_lat_42.75684_lon_-93.51467_2016-06-15.npy,396.0412292480469,496.0103149414063,769.4742431640625,844.1958618164062,2265.1650390625,2981.0927734375,2434.247314453125,3061.556640625,3027.7421875,5.389199941419065e-05,297.03009033203125,294.8148498535156,0.0,0.0824742242693901,0.6597937941551208,0.0,0.0,0.17525772750377655,0.0,0.0,0.0,0.0824742242693901,0.0,0.0,0.2410293031190368,1175.0,0.38407375711919467,0.9700000286102296
270,4,0,-90.55157747292616,41.31100231048325,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,217.0,302.54736328125,684.9789428710938,491.7368469238281,4014.368408203125,2250.515869140625,1017.915771484375,2929.0947265625,2906.389404296875,3.248444409109652e-05,308.59710693359375,296.1904602050781,0.03157894685864448,0.0736842080950737,0.8947368264198303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5140384302114571,491.0,0.6163404570060853,0.9499999880790709
271,4,0,-90.5488825270738,41.31100231048325,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,134.16000366210938,205.8699951171875,503.6499938964844,284.1499938964844,4600.2099609375,1650.43994140625,621.719970703125,2927.909912109375,2904.89990234375,3.259142249589786e-05,308.5924072265625,296.18994140625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7741111140200653,508.0,0.6163404570060853,1.0
272,4,0,-90.54618758122145,41.31100231048325,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,129.19387817382812,206.42857360839844,517.19384765625,307.5204162597656,4623.0,1658.1326904296875,628.19384765625,2927.87744140625,2904.969482421875,3.271572131779976e-05,308.59417724609375,296.18890380859375,0.02040816284716129,0.9693877696990968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7172824128761192,472.0,0.6163404570060853,0.9800000190734864
273,4,0,-90.54349263536908,41.31100231048325,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,135.51545715332028,246.4845428466797,614.2164916992188,476.6082458496094,3844.484619140625,1810.1134033203125,828.6082763671875,2961.185546875,2936.783447265625,3.284013655502349e-05,308.5960388183594,296.1878356933594,0.5360824465751648,0.3814432919025421,0.020618556067347527,0.010309278033673763,0.0,0.0,0.0,0.051546391099691384,0.0,0.0,0.0,0.0,0.6561469291634852,412.0,0.6163404570060853,0.9700000286102296
274,4,0,-90.54079768951674,41.31100231048325,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,106.6956558227539,220.56521606445312,615.2174072265625,462.3260803222656,4129.6845703125,1762.54345703125,772.3587036132812,2930.75,2906.152099609375,3.296067734481767e-05,308.59771728515625,296.1867980957031,0.489130437374115,0.239130437374115,0.010869565419852734,0.04347826167941093,0.0,0.1304347813129425,0.0,0.0,0.0,0.08695652335882187,0.0,0.0,0.6123760420948917,309.0,0.6163404570060853,0.9200000166893004
287,4,0,-90.5488825270738,41.302917472926175,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,352.56988525390625,381.1182861328125,674.0968017578125,418.7742004394531,4723.9140625,2336.698974609375,1007.8709716796876,2927.182861328125,2905.193603515625,3.24410357279703e-05,308.54010009765625,296.2023010253906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6047841794133818,374.0,0.6163404570060853,0.9300000071525574
288,4,0,-90.54618758122145,41.302917472926175,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,274.69564819335943,316.2826232910156,597.728271484375,372.7065124511719,4552.72802734375,2077.71728515625,865.70654296875,2929.5,2905.739013671875,3.256114723626524e-05,308.54119873046875,296.20135498046875,0.0,0.3913043439388275,0.6086956262588501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7296368494999943,396.0,0.6163404570060853,0.9200000166893004
289,4,0,-90.54349263536908,41.302917472926175,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,126.1505355834961,194.6774139404297,481.6666564941406,276.29031372070307,4524.26904296875,1559.709716796875,587.1397705078125,2926.354736328125,2904.0966796875,3.268332511652261e-05,308.5425720214844,296.20037841796875,0.06451612710952759,0.9354838728904724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8161532546214813,399.0,0.6163404570060853,0.9300000071525574
290,4,0,-90.54079768951674,41.302917472926175,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,93.06382751464844,225.925537109375,665.8936157226562,511.0531921386719,4271.54248046875,1702.2340087890625,774.9149169921875,2928.616943359375,2905.414794921875,3.280553937656805e-05,308.5439453125,296.1993713378906,0.7446808218955994,0.08510638028383255,0.0,0.0,0.0,0.11702127754688264,0.0,0.0,0.0,0.010638297535479069,0.010638297535479069,0.0,0.6461890033935402,353.0,0.6163404570060853,0.9399999976158142
293,4,0,-90.5488825270738,41.30022252707382,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,225.32000732421875,303.010009765625,682.9099731445312,484.7799987792969,4221.5498046875,2195.5,989.1099853515624,2928.72998046875,2906.280029296875,3.238953649997711e-05,308.52252197265625,296.20648193359375,0.019999999552965164,0.0,0.9800000190734864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5352091705558143,551.0,0.6163404570060853,1.0
294,4,0,-90.54618758122145,41.30022252707382,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,171.6300048828125,240.08999633789062,549.719970703125,364.2799987792969,4144.22021484375,1783.27001953125,752.969970703125,2927.110107421875,2904.090087890625,3.2510295568499714e-05,308.5238342285156,296.20550537109375,0.03999999910593033,0.550000011920929,0.33000001311302185,0.07999999821186066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364540263003057,597.0,0.6163404570060853,1.0
295,4,0,-90.54349263536908,41.30022252707382,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,134.91000366210938,202.1000061035156,480.2200012207031,299.1700134277344,4304.39013671875,1607.1099853515625,617.6400146484375,2928.72998046875,2905.3798828125,3.263147300458513e-05,308.52520751953125,296.2044677734375,0.029999999329447743,0.8000000119209291,0.10999999940395357,0.059999998658895486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143388317073233,574.0,0.6163404570060853,1.0
296,4,0,-90.54079768951674,41.30022252707382,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,161.47000122070312,265.85000610351557,627.9400024414062,532.9000244140625,3888.8701171875,1946.9000244140625,897.3099975585938,2928.77001953125,2905.64990234375,3.275267226854339e-05,308.5263977050781,296.2034912109375,0.119999997317791,0.33000001311302185,0.4300000071525574,0.0,0.0,0.10999999940395357,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,0.5129578247681237,521.0,0.6163404570060853,1.0
299,4,0,-90.5488825270738,41.29752758122146,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,211.9199981689453,291.3399963378906,623.010009765625,494.9599914550781,3817.93994140625,2087.260009765625,976.8099975585938,2929.6298828125,2906.7900390625,3.23388994729612e-05,308.50506591796875,296.21063232421875,0.10999999940395357,0.029999999329447743,0.6700000166893005,0.1899999976158142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5266912839780192,461.0,0.6163404570060853,1.0
300,4,0,-90.54618758122145,41.29752758122146,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,179.56565856933594,243.05050659179688,528.9697265625,385.9595947265625,3773.727294921875,1757.949462890625,788.7979736328125,2926.171630859375,2903.343505859375,3.2459021895192564e-05,308.50628662109375,296.2095947265625,0.09090909361839294,0.09090909361839294,0.27272728085517883,0.5454545617103577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397347973357601,461.0,0.6163404570060853,0.9900000095367432
301,4,0,-90.54349263536908,41.29752758122146,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,181.59793090820312,263.96908569335943,595.9793701171875,497.42266845703125,3483.80419921875,1929.8865966796875,883.5567016601562,2931.927734375,2907.7421875,3.2580290280748165e-05,308.5076599121094,296.20855712890625,0.12371134012937544,0.04123711213469505,0.5463917255401611,0.2886597812175751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4844007635310055,453.0,0.6163404570060853,0.9700000286102296
302,4,0,-90.54079768951674,41.29752758122146,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,141.6145782470703,209.5416717529297,517.3333129882811,361.9479064941406,3874.739501953125,1656.2291259765625,701.2708129882812,2925.239501953125,2903.125,3.2700416340958334e-05,308.5086669921875,296.2076110839844,0.1770833283662796,0.03125,0.21875,0.4270833432674408,0.0,0.125,0.0,0.0,0.0,0.02083333395421505,0.0,0.0,0.7175694359828059,392.0,0.6163404570060853,0.959999978542328
321,4,0,-90.54079768951674,41.28944274366439,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,167.01010131835938,239.60606384277344,542.0,416.9090881347656,3381.87890625,1703.6868896484375,794.3737182617188,2932.12109375,2907.9091796875,3.254094553994946e-05,308.45550537109375,296.2200622558594,0.3030303120613098,0.4343434274196625,0.0,0.13131313025951385,0.0,0.05050504952669144,0.0,0.0,0.0,0.08080808073282242,0.0,0.0,0.5656850474689531,441.0,0.6163404570060853,0.9900000095367432
322,4,0,-90.53810274366438,41.28944274366439,2016-06-15,../data/tiles/input_tile_lat_41.30157_lon_-90.55023_2016-06-15.npy,157.82827758789062,219.7373809814453,519.19189453125,369.6262512207031,3602.54541015625,1614.6566162109375,732.80810546875,2928.171630859375,2904.48486328125,3.265916166128591e-05,308.4562072753906,296.2191162109375,0.2626262605190277,0.2929292917251587,0.020202020183205605,0.3030303120613098,0.0,0.06060606241226196,0.0,0.0,0.0,0.06060606241226196,0.0,0.0,0.6216232424494461,401.0,0.6163404570060853,0.9900000095367432
363,1,3,-93.36240231048323,42.55336725633562,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,240.17999267578125,268.22000122070307,504.3900146484375,331.7799987792969,3274.75,1941.22998046875,1094.0,3010.14990234375,2986.0,5.6686942116357386e-05,298.3533935546875,294.989501953125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7603024306336563,1541.0,0.7268899763037964,1.0
364,1,3,-93.35970736463086,42.55336725633562,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,346.94000244140625,402.9200134277344,661.4099731445312,591.5800170898438,3051.25,2509.860107421875,1759.6600341796875,3030.199951171875,3003.449951171875,5.677583249052986e-05,298.3740234375,294.9870300292969,0.0,0.3499999940395355,0.41999998688697815,0.0,0.0,0.17000000178813934,0.0,0.0,0.0,0.029999999329447743,0.009999999776482582,0.0,0.5580221004056103,1532.0,0.7268899763037964,1.0
367,1,3,-93.36240231048323,42.55067231048326,2016-06-15,../data/tiles/input_tile_lat_42.54124_lon_-93.35297_2016-06-15.npy,249.55555725097656,282.4747619628906,535.4949340820311,365.404052734375,3782.848388671875,2058.5556640625,1091.1212158203123,3000.888916015625,2977.919189453125,5.655748100252822e-05,298.355712890625,294.994384765625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7793449900644689,1526.0,0.7268899763037964,0.9900000095367432
