,fold,grid_fold,lon,lat,date,tile_file,ref_1,ref_2,ref_3,ref_4,ref_5,ref_6,ref_7,ref_10,ref_11,Rainf_f_tavg,SWdown_f_tavg,Tair_f_tavg,grassland_pasture,corn,soybean,deciduous_forest,evergreen_forest,developed_open_space,woody_wetlands,open_water,alfalfa,developed_low_intensity,developed_med_intensity,missing_reflectance,SIF,num_soundings
0,1,2,-88.17867,43.53837,2016-08-01,../data/tiles/input_tile_lat_43.53837_lon_-88.17867_2016-08-01.npy,213.10499572753903,233.90350341796875,450.8364868164063,278.65701293945307,3854.638427734375,1595.300537109375,652.1196899414062,2958.276611328125,2932.606201171875,4.329980947659351e-05,240.2448272705078,295.5000305175781,0.06369999796152115,0.04320000112056732,0.02319999970495701,0.4393999874591827,0.038899999111890786,0.03640000149607658,0.289000004529953,0.00139999995008111,0.019999999552965164,0.005799999926239252,0.0005000000237487257,0.0,0.5764122966088746,5.300000190734863
1,2,3,-107.20526000000001,44.88584,2016-06-15,../data/tiles/input_tile_lat_44.88584_lon_-107.20526_2016-06-15.npy,415.9512023925781,472.4530944824219,739.55517578125,686.5748291015625,3275.907958984375,2333.491943359375,1355.543701171875,3050.87890625,3021.540283203125,8.22567380964756e-06,342.1543884277344,295.0,0.09849999845027924,0.0,0.0,0.0,0.004000000189989804,0.0215000007301569,0.1979999989271164,0.0,0.2777999937534332,0.005400000140070915,9.999999747378753e-05,0.0,0.2312631626662455,4.670000076293945
2,1,3,-90.68524000000001,41.70581,2016-06-15,../data/tiles/input_tile_lat_41.70581_lon_-90.68524_2016-06-15.npy,308.4366149902344,377.2369995117188,660.162109375,584.046875,3425.83447265625,2216.03955078125,1174.9681396484375,3018.287109375,2994.288330078125,4.580195309245028e-05,310.57196044921875,295.836669921875,0.11949999630451202,0.6087999939918518,0.13979999721050262,0.02370000071823597,0.0,0.05180000141263008,0.005200000014156103,0.0054999999701976785,0.005900000222027303,0.0215000007301569,0.010300000198185444,0.0,0.5917890797320164,9.829999923706056
3,2,3,-95.21248,45.88297,2016-08-01,../data/tiles/input_tile_lat_45.88297_lon_-95.21248_2016-08-01.npy,211.62876892089844,245.2518310546875,487.2083435058594,325.74798583984375,4188.46240234375,1870.0687255859373,835.3407592773438,2956.2294921875,2936.38916015625,3.888799619744532e-05,259.814697265625,294.478759765625,0.19843734800815585,0.2510267496109009,0.2988079786300659,0.042572371661663055,0.006410898640751839,0.03515977039933205,0.0005008514272049068,0.00020034058252349496,0.050886508077383034,0.0,0.0,0.0017000000225380065,0.7117124011642053,4.0900001525878915
4,0,4,-106.34261000000001,46.71841,2016-06-15,../data/tiles/input_tile_lat_46.71841_lon_-106.34261_2016-06-15.npy,635.6066284179688,758.0457763671875,1124.1016845703123,1256.0904541015625,2495.22119140625,3240.843994140625,2511.83837890625,3077.487548828125,3057.255126953125,1.3091942491882945e-05,336.6719055175781,293.7442321777344,0.6075000166893005,0.00019999999494757506,0.0,0.0,0.0,0.008700000122189522,0.0,0.0,0.0003999999898951501,0.0,0.0,0.0,0.10462989888497087,9.079999923706056
5,1,1,-90.84694,42.16395,2016-06-15,../data/tiles/input_tile_lat_42.16395_lon_-90.84694_2016-06-15.npy,276.01419067382807,369.74169921875,727.0390014648438,656.4207763671875,3644.79638671875,2278.539306640625,1209.0201416015625,3003.897216796875,2980.3759765625,6.24355161562562e-05,310.6748352050781,295.046875,0.2395000010728836,0.3598000109195709,0.08129999786615373,0.20180000364780426,0.0,0.04270000010728836,9.999999747378753e-05,0.0,0.05550000071525574,0.003000000026077032,0.002099999925121665,0.0,0.6156936754521569,5.630000114440918
6,4,3,-94.3501,43.51142,2016-08-01,../data/tiles/input_tile_lat_43.51142_lon_-94.3501_2016-08-01.npy,137.73104858398438,173.5433349609375,375.419921875,244.65374755859372,4148.4208984375,1594.7830810546875,675.5390014648438,2956.15771484375,2941.193359375,4.037090548081324e-05,241.9647216796875,295.2486877441406,0.01972823403775692,0.6295923590660095,0.2601912319660187,0.006441872101277113,0.0,0.03995973989367485,0.01258178148418665,0.00010065425158245488,0.0015098138246685266,0.0019124307436868546,0.0012078509898856282,0.006500000134110451,0.7583874977732958,3.7799999713897705
7,2,2,-87.07401,40.14274,2016-08-01,../data/tiles/input_tile_lat_40.14274_lon_-87.07401_2016-08-01.npy,251.4125061035156,265.12399291992193,443.4797058105469,290.5957946777344,4752.017578125,1787.42138671875,722.1550903320312,2979.87939453125,2950.997314453125,4.75214546895586e-05,237.09539794921875,297.5555114746094,0.024700000882148743,0.4699000120162964,0.4050999879837036,0.033500000834465034,0.0,0.04749999940395355,0.0,0.0,0.003400000045076013,0.006300000008195639,0.0,0.0,1.0132661822595093,6.190000057220459
8,1,2,-101.92317,43.10718,2016-08-01,../data/tiles/input_tile_lat_43.10718_lon_-101.92317_2016-08-01.npy,424.5730895996094,540.3952026367189,853.5982055664062,904.3994750976562,2548.218017578125,2878.469482421875,1770.197021484375,3097.42236328125,3061.385986328125,2.3939206585055217e-05,272.05487060546875,295.59173583984375,0.934599995613098,0.0,0.0005000000237487257,0.0,9.999999747378753e-05,0.01730000041425228,0.0003999999898951501,0.0,0.0,0.002499999944120645,0.0,0.0,0.2272049282726488,6.0900001525878915
9,1,4,-105.07598,43.21498,2016-06-15,../data/tiles/input_tile_lat_43.21498_lon_-105.07598_2016-06-15.npy,712.7279052734375,880.4968872070312,1249.99658203125,1474.458740234375,2660.425537109375,3489.185546875,2490.04931640625,3195.015625,3158.310302734375,9.31934300751891e-06,355.26239013671875,295.1609191894531,0.8562999963760376,0.0,0.0,0.0,0.0,9.999999747378753e-05,0.0003999999898951501,0.0,0.0,0.0,0.0,0.0,0.12134644874420605,8.050000190734862
10,4,2,-96.04791999999999,48.06588,2016-08-01,../data/tiles/input_tile_lat_48.06588_lon_-96.04792_2016-08-01.npy,194.32310485839844,255.39990234375,523.5316772460939,454.656494140625,3139.805908203125,1774.498046875,854.9312133789062,2957.336669921875,2931.1875,4.4481264922069386e-05,253.3643493652344,293.4197692871094,0.05480000004172325,0.03390000015497208,0.13840000331401825,0.15620000660419464,0.0,0.03940000012516976,0.030700000002980232,0.002300000051036477,0.14020000398159027,0.002199999988079071,0.0,0.0,0.6442124525967396,3.509999990463257
11,4,1,-100.4679,43.32277,2016-06-15,../data/tiles/input_tile_lat_43.32277_lon_-100.4679_2016-06-15.npy,336.36138916015625,449.2734069824219,806.3438720703125,788.7103881835938,3136.722900390625,2560.730712890625,1470.3065185546875,3069.430908203125,3051.822509765625,2.4505112378392372e-05,333.3031311035156,296.56829833984375,0.7415999770164491,0.002099999925121665,0.001500000013038516,0.0007999999797903001,0.0,0.03620000183582306,0.008700000122189522,0.0,0.009100000374019146,0.008700000122189522,0.0,0.0,0.3268259773521047,4.550000190734863
12,3,4,-89.90371,39.226459999999996,2016-06-15,../data/tiles/input_tile_lat_39.22646_lon_-89.90371_2016-06-15.npy,326.29681396484375,380.00299072265625,670.9844970703125,584.7271118164062,4046.499267578125,2159.481201171875,1192.2733154296875,3000.301513671875,2970.3671875,1.8937544155051e-05,300.9996643066406,297.8211364746094,0.12809999287128448,0.14980000257492065,0.10360000282526016,0.5511999726295471,0.0,0.04450000077486038,0.0005000000237487257,0.003000000026077032,0.001000000047497451,0.009100000374019146,0.0006000000284984707,0.0,0.6052312811738566,7.210000038146973
13,2,4,-89.82285999999999,38.983909999999995,2016-06-15,../data/tiles/input_tile_lat_38.98391_lon_-89.82286_2016-06-15.npy,310.717529296875,371.8019104003906,636.6370239257812,564.8385620117188,3613.646728515625,2158.689697265625,1141.8494873046875,2997.70703125,2971.31884765625,1.872775646916125e-05,298.2291564941406,297.97515869140625,0.15231922268867493,0.186651811003685,0.20083045959472656,0.3792789280414581,0.0,0.05063803866505623,0.0,0.007291877642273903,0.0,0.02187563292682171,0.0006076564895920455,0.012600000016391277,0.4573117622027271,9.880000114440918
14,2,3,-98.06912,40.73563,2016-06-15,../data/tiles/input_tile_lat_40.73563_lon_-98.06912_2016-06-15.npy,412.61309814453125,511.2626953125,821.1605834960938,835.50537109375,3455.129150390625,2746.396484375,1716.8643798828125,3020.81689453125,2978.383544921875,1.3377478353504555e-05,316.6647644042969,297.8202819824219,0.1046999990940094,0.6194000244140625,0.2026000022888184,0.03530000150203705,0.0,0.030899999663233764,0.004600000102072954,0.0003999999898951501,0.0,0.000699999975040555,0.0,0.0,0.5289144129737426,7.869999885559082
15,1,3,-97.39539,47.58079,2016-08-01,../data/tiles/input_tile_lat_47.58079_lon_-97.39539_2016-08-01.npy,259.0443115234375,340.9248046875,618.7239990234375,602.7590942382812,3818.103271484375,2094.910888671875,1079.9173583984377,2975.032470703125,2948.135009765625,3.2877775083761655e-05,253.67410278320312,294.3185119628906,0.005900000222027303,0.20469999313354487,0.3409000039100647,0.005100000184029341,0.0,0.03400000184774399,0.00139999995008111,0.0,0.007799999788403511,0.00019999999494757506,0.0,0.0,0.5670505966010846,4.710000038146973
